License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2602028,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SYRACUSE UNIVERSITY,THE INN COMPLETE,SKYTOP ROAD,COLVIN AVE,SYRACUSE,NY,13244,857947,4/17/2002,4/1/2016,3/31/2018,0,0,"(0.0, 0.0)"
2602033,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,MIRABITO HOLDINGS INC,QUICKWAY TRAVEL CENTER 33,512 STATE FAIR BLVD,,SYRACUSE,NY,13204,861845,2/14/2002,11/1/2014,10/31/2017,43.05942432,-76.18202889,"(43.05942432, -76.18202889)"
2602039,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,TONYS FAMILY RESTAURANT INC,TONYS FAMILY RESTAURANT,3004 BURNET AVE,THOMPSON ROAD & MIDLER AVE,SYRACUSE,NY,13206,827856,2/28/2002,3/1/2015,2/28/2017,43.0604276,-76.0956291,"(43.0604276, -76.0956291)"
2602065,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,WHM INC OF CNY,WILD WILL'S SALOON,139 E WATER ST,,SYRACUSE,NY,13202,859480,5/23/2002,5/1/2016,4/30/2018,43.05057512,-76.15159113,"(43.05057512, -76.15159113)"
2602108,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,6266 THOMPSON ROAD CORP,THOMPSON ROAD TAVERN,6266 THOMPSON ROAD,EXETER & CARRIER CIRCLE,SYRACUSE,NY,13206,858617,4/19/2002,4/1/2016,3/31/2018,43.0760376,-76.08890328,"(43.0760376, -76.08890328)"
2602111,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,OHRI GAS LAND INC,,1825 TEALL AVE,GRANT & GALSTER,SYRACUSE,NY,13206,858248,4/19/2002,4/1/2014,3/31/2017,43.07399551,-76.12329724,"(43.07399551, -76.12329724)"
2602204,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ARMORY SQUARE HOTEL PROPERTIES LP,JEFFERSON CLINTON HOTEL,416 S CLINTON ST,JEFFERSON & CLINTN STS,SYRACUSE,NY,13202,860049,4/1/2004,6/1/2016,5/31/2018,43.04779456,-76.15364312,"(43.04779456, -76.15364312)"
2602212,CLUB LIQUOR,243,CL,Albany,2,ONONDAGA,IBPOE OF THE WORLD LODGE 1104,SYRACUSE NY INC,3815 S SALINA ST,BALLANTYNE ROAD,SYRACUSE,NY,13205,863531,4/24/2006,6/3/2016,5/31/2018,43.01146603,-76.14195899,"(43.01146603, -76.14195899)"
2602415,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,YOUNG HEE PARK,CHORONG HOUSE RESTAURANT,1121 E FAYETTE ST,,SYRACUSE,NY,13210,829541,11/6/2002,11/1/2015,10/31/2017,43.04845057,-76.13379214,"(43.04845057, -76.13379214)"
2602432,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,CEC ENTERTAINMENT INC,CHUCK E CHEESE #526,3033 ERIE BLVD E,,SYRACUSE,NY,13224,827769,1/15/2003,2/12/2015,12/31/2016,43.05561455,-76.08596333,"(43.05561455, -76.08596333)"
