"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
"1023      ","8/25/2010 9:45:00 AM",0,0,0,0,1,0,0,284,
"1023      ","4/9/2012 4:40:00 PM",0,0,0,0,1,0,0,285,
"1023      ","10/7/2013 2:10:00 PM",0,0,0,0,1,0,0,286,
"10230     ","2/9/2015 12:30:00 PM",0,0,0,0,1,0,0,287,
"10230     ","5/3/2016 3:00:00 PM",1,0,0,0,0,0,0,288,
"10231     ","12/9/2015 9:45:00 AM",0,0,0,0,1,0,0,289,
"10232     ","11/4/2015 11:00:00 AM",0,0,0,0,1,0,0,290,
"10234     ","11/17/2014 11:00:00 AM",0,0,0,0,1,0,0,291,
"10234     ","11/16/2015 3:10:00 PM",0,0,0,0,1,0,0,292,
"10234     ","2/19/2016 1:00:00 PM",0,0,0,0,1,0,0,293,
"10234     ","5/16/2016 12:05:00 PM",0,0,0,0,1,0,0,294,
"10236     ","5/28/2015 11:45:00 AM",1,0,0,0,0,0,0,295,
"10237     ","9/3/2014 1:00:10 PM",0,0,0,0,1,0,0,296,
"10237     ","3/27/2015 11:05:00 AM",0,0,0,0,1,0,0,297,
"1023cc    ","3/11/2004 12:00:00 AM",0,0,0,0,0,0,1,298,
"1024      ","4/28/2009 2:40:00 PM",0,0,0,0,1,0,0,299,
"1024      ","11/2/2010 10:58:33 AM",0,0,0,0,1,0,0,300,
"1024      ","1/18/2011 1:02:01 PM",1,0,0,0,0,0,0,301,
"1024      ","4/26/2012 1:30:00 PM",0,0,0,0,1,0,0,302,
"1024      ","5/26/2016 2:20:00 PM",0,0,0,0,1,0,0,303,
"10243     ","8/26/2015 1:50:00 PM",0,0,0,0,1,0,0,304,
"10245     ","12/26/2014 2:45:10 PM",0,0,0,0,1,0,0,305,
"10245     ","5/5/2015 1:20:00 PM",0,0,0,0,1,0,0,306,
"10247     ","11/25/2014 3:37:48 PM",0,0,0,0,1,0,0,307,
"10247     ","5/19/2015 11:55:00 AM",1,0,0,0,1,0,0,308,
"10247     ","11/10/2015 9:25:00 AM",1,0,0,0,0,0,0,309,
"10247     ","5/27/2016 8:30:00 AM",0,0,0,0,1,0,0,310,
"10248     ","10/20/2014 2:50:00 PM",0,0,0,0,1,0,0,311,
"10249     ","6/5/2015 1:30:00 PM",1,0,0,0,1,0,0,312,
"10252     ","8/21/2014 2:00:00 PM",0,0,0,0,1,0,0,313,
"10252     ","2/12/2015 1:10:10 PM",0,0,0,0,1,0,0,314,
"10254     ","8/12/2014 8:00:06 AM",0,0,0,0,1,0,0,315,
"10254     ","8/19/2015 7:45:00 AM",0,0,0,0,1,0,0,316,
"10254     ","2/5/2016 8:30:00 AM",0,0,0,0,1,0,0,317,
"1026      ","10/22/2003 11:00:00 AM",1,0,0,0,0,0,0,318,
"1026      ","10/6/2004 11:45:00 AM",1,0,0,0,0,0,0,319,
"10260     ","10/8/2014 8:15:00 AM",0,0,0,0,1,0,0,320,
"10260     ","10/17/2014 8:00:00 AM",0,0,0,0,1,0,0,321,
